sample_id,dataset,filepath,error
FSD50K_020111,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138702.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138702.wav
FSD50K_020112,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140534.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140534.wav
FSD50K_020113,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\200181.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\200181.wav
FSD50K_020114,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\200182.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\200182.wav
FSD50K_020115,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\200183.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\200183.wav
FSD50K_020116,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138742.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138742.wav
FSD50K_020117,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140535.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140535.wav
FSD50K_020118,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377340.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377340.wav
FSD50K_020119,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377341.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377341.wav
FSD50K_020120,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377342.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377342.wav
FSD50K_020121,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377343.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377343.wav
FSD50K_020122,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377344.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377344.wav
FSD50K_020123,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\418301.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\418301.wav
FSD50K_020124,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\213504.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\213504.wav
FSD50K_020125,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\418302.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\418302.wav
FSD50K_020126,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377348.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377348.wav
FSD50K_020127,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377349.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377349.wav
FSD50K_020128,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\418303.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\418303.wav
FSD50K_020129,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138750.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138750.wav
FSD50K_020130,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377352.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377352.wav
FSD50K_020131,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377353.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377353.wav
FSD50K_020132,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138753.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138753.wav
FSD50K_020133,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377355.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377355.wav
FSD50K_020134,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377356.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377356.wav
FSD50K_020135,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377357.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377357.wav
FSD50K_020136,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\377358.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\377358.wav
FSD50K_020137,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138760.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138760.wav
FSD50K_020138,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138761.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138761.wav
FSD50K_020139,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138766.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138766.wav
FSD50K_020140,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138768.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138768.wav
FSD50K_020141,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138769.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138769.wav
FSD50K_020142,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138770.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138770.wav
FSD50K_020143,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138773.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138773.wav
FSD50K_020144,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138775.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138775.wav
FSD50K_020145,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138779.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138779.wav
FSD50K_020146,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138781.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138781.wav
FSD50K_020147,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138782.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138782.wav
FSD50K_020148,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138783.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138783.wav
FSD50K_020149,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138784.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138784.wav
FSD50K_020150,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138785.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138785.wav
FSD50K_020151,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138787.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138787.wav
FSD50K_020152,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\50727.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\50727.wav
FSD50K_020153,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138791.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138791.wav
FSD50K_020154,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\50728.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\50728.wav
FSD50K_020155,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138794.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138794.wav
FSD50K_020156,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\50731.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\50731.wav
FSD50K_020157,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138796.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138796.wav
FSD50K_020158,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138797.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138797.wav
FSD50K_020159,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138799.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138799.wav
FSD50K_020160,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\32305.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\32305.wav
FSD50K_020161,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138803.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138803.wav
FSD50K_020162,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138805.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138805.wav
FSD50K_020163,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138808.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138808.wav
FSD50K_020164,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138809.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138809.wav
FSD50K_020165,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138810.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138810.wav
FSD50K_020166,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138812.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138812.wav
FSD50K_020167,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138816.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138816.wav
FSD50K_020168,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138817.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138817.wav
FSD50K_020169,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138717.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138717.wav
FSD50K_020170,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138820.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138820.wav
FSD50K_020171,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138822.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138822.wav
FSD50K_020172,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138825.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138825.wav
FSD50K_020173,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138826.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138826.wav
FSD50K_020174,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138831.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138831.wav
FSD50K_020175,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138834.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138834.wav
FSD50K_020176,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138837.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138837.wav
