sample_id,dataset,filepath,filename,original_label,unified_label,split,fold,processed_path,sample_rate,duration,channels
ESC50_000026,ESC50,datasets\ESC50\audio\1-172649-E-40.wav,1-172649-E-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000026.wav,16000,5.0,1
ESC50_000027,ESC50,datasets\ESC50\audio\1-172649-F-40.wav,1-172649-F-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000027.wav,16000,5.0,1
ESC50_000028,ESC50,datasets\ESC50\audio\1-17367-A-10.wav,1-17367-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000028.wav,16000,5.0,1
ESC50_000029,ESC50,datasets\ESC50\audio\1-17970-A-4.wav,1-17970-A-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000029.wav,16000,5.0,1
ESC50_000030,ESC50,datasets\ESC50\audio\1-181071-A-40.wav,1-181071-A-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000030.wav,16000,5.0,1
ESC50_000031,ESC50,datasets\ESC50\audio\1-181071-B-40.wav,1-181071-B-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000031.wav,16000,5.0,1
ESC50_000032,ESC50,datasets\ESC50\audio\1-18527-A-44.wav,1-18527-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000032.wav,16000,5.0,1
ESC50_000033,ESC50,datasets\ESC50\audio\1-18527-B-44.wav,1-18527-B-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000033.wav,16000,5.0,1
ESC50_000034,ESC50,datasets\ESC50\audio\1-18755-A-4.wav,1-18755-A-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000034.wav,16000,5.0,1
ESC50_000035,ESC50,datasets\ESC50\audio\1-18755-B-4.wav,1-18755-B-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000035.wav,16000,5.0,1
ESC50_000036,ESC50,datasets\ESC50\audio\1-18757-A-4.wav,1-18757-A-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000036.wav,16000,5.0,1
ESC50_000037,ESC50,datasets\ESC50\audio\1-196660-A-8.wav,1-196660-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000037.wav,16000,5.0,1
ESC50_000038,ESC50,datasets\ESC50\audio\1-196660-B-8.wav,1-196660-B-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000038.wav,16000,5.0,1
ESC50_000039,ESC50,datasets\ESC50\audio\1-19898-A-41.wav,1-19898-A-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000039.wav,16000,5.0,1
ESC50_000040,ESC50,datasets\ESC50\audio\1-19898-B-41.wav,1-19898-B-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000040.wav,16000,5.0,1
ESC50_000041,ESC50,datasets\ESC50\audio\1-19898-C-41.wav,1-19898-C-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000041.wav,16000,5.0,1
ESC50_000042,ESC50,datasets\ESC50\audio\1-202111-A-3.wav,1-202111-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000042.wav,16000,5.0,1
ESC50_000043,ESC50,datasets\ESC50\audio\1-208757-A-2.wav,1-208757-A-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000043.wav,16000,5.0,1
ESC50_000044,ESC50,datasets\ESC50\audio\1-208757-B-2.wav,1-208757-B-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000044.wav,16000,5.0,1
ESC50_000045,ESC50,datasets\ESC50\audio\1-208757-C-2.wav,1-208757-C-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000045.wav,16000,5.0,1
ESC50_000046,ESC50,datasets\ESC50\audio\1-208757-D-2.wav,1-208757-D-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000046.wav,16000,5.0,1
ESC50_000047,ESC50,datasets\ESC50\audio\1-208757-E-2.wav,1-208757-E-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000047.wav,16000,5.0,1
ESC50_000048,ESC50,datasets\ESC50\audio\1-21189-A-10.wav,1-21189-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000048.wav,16000,5.0,1
ESC50_000049,ESC50,datasets\ESC50\audio\1-223162-A-25.wav,1-223162-A-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000049.wav,16000,5.0,1
ESC50_000050,ESC50,datasets\ESC50\audio\1-22882-A-44.wav,1-22882-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000050.wav,16000,5.0,1
ESC50_000051,ESC50,datasets\ESC50\audio\1-23222-A-19.wav,1-23222-A-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000051.wav,16000,5.0,1
ESC50_000052,ESC50,datasets\ESC50\audio\1-23222-B-19.wav,1-23222-B-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000052.wav,16000,5.0,1
ESC50_000053,ESC50,datasets\ESC50\audio\1-24524-A-19.wav,1-24524-A-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000053.wav,16000,5.0,1
ESC50_000054,ESC50,datasets\ESC50\audio\1-24524-B-19.wav,1-24524-B-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000054.wav,16000,5.0,1
ESC50_000055,ESC50,datasets\ESC50\audio\1-24524-C-19.wav,1-24524-C-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000055.wav,16000,5.0,1
ESC50_000056,ESC50,datasets\ESC50\audio\1-24796-A-47.wav,1-24796-A-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000056.wav,16000,5.0,1
ESC50_000057,ESC50,datasets\ESC50\audio\1-260640-A-2.wav,1-260640-A-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000057.wav,16000,5.0,1
ESC50_000058,ESC50,datasets\ESC50\audio\1-260640-B-2.wav,1-260640-B-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000058.wav,16000,5.0,1
ESC50_000059,ESC50,datasets\ESC50\audio\1-260640-C-2.wav,1-260640-C-2.wav,pig,Wildlife,train,1.0,processed\audio\ESC50_000059.wav,16000,5.0,1
ESC50_000060,ESC50,datasets\ESC50\audio\1-26222-A-10.wav,1-26222-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000060.wav,16000,5.0,1
ESC50_000061,ESC50,datasets\ESC50\audio\1-26806-A-1.wav,1-26806-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000061.wav,16000,5.0,1
ESC50_000062,ESC50,datasets\ESC50\audio\1-27724-A-1.wav,1-27724-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000062.wav,16000,5.0,1
ESC50_000063,ESC50,datasets\ESC50\audio\1-29532-A-16.wav,1-29532-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000063.wav,16000,5.0,1
ESC50_000064,ESC50,datasets\ESC50\audio\1-29561-A-10.wav,1-29561-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000064.wav,16000,5.0,1
ESC50_000065,ESC50,datasets\ESC50\audio\1-30226-A-0.wav,1-30226-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000065.wav,16000,5.0,1
ESC50_000066,ESC50,datasets\ESC50\audio\1-30344-A-0.wav,1-30344-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000066.wav,16000,5.0,1
ESC50_000067,ESC50,datasets\ESC50\audio\1-31482-A-42.wav,1-31482-A-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000067.wav,16000,5.0,1
ESC50_000068,ESC50,datasets\ESC50\audio\1-31482-B-42.wav,1-31482-B-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000068.wav,16000,5.0,1
ESC50_000069,ESC50,datasets\ESC50\audio\1-31836-A-4.wav,1-31836-A-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000069.wav,16000,5.0,1
ESC50_000070,ESC50,datasets\ESC50\audio\1-31836-B-4.wav,1-31836-B-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000070.wav,16000,5.0,1
ESC50_000071,ESC50,datasets\ESC50\audio\1-32318-A-0.wav,1-32318-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000071.wav,16000,5.0,1
ESC50_000072,ESC50,datasets\ESC50\audio\1-34094-A-5.wav,1-34094-A-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000072.wav,16000,5.0,1
ESC50_000073,ESC50,datasets\ESC50\audio\1-34094-B-5.wav,1-34094-B-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000073.wav,16000,5.0,1
ESC50_000074,ESC50,datasets\ESC50\audio\1-34119-A-1.wav,1-34119-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000074.wav,16000,5.0,1
ESC50_000075,ESC50,datasets\ESC50\audio\1-34119-B-1.wav,1-34119-B-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000075.wav,16000,5.0,1
ESC50_000076,ESC50,datasets\ESC50\audio\1-34495-A-14.wav,1-34495-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000076.wav,16000,5.0,1
ESC50_000077,ESC50,datasets\ESC50\audio\1-34497-A-14.wav,1-34497-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000077.wav,16000,5.0,1
ESC50_000078,ESC50,datasets\ESC50\audio\1-36929-A-47.wav,1-36929-A-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000078.wav,16000,5.0,1
ESC50_000079,ESC50,datasets\ESC50\audio\1-38559-A-14.wav,1-38559-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000079.wav,16000,5.0,1
ESC50_000080,ESC50,datasets\ESC50\audio\1-38560-A-14.wav,1-38560-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000080.wav,16000,5.0,1
ESC50_000081,ESC50,datasets\ESC50\audio\1-39835-A-9.wav,1-39835-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000081.wav,16000,5.0,1
ESC50_000082,ESC50,datasets\ESC50\audio\1-39835-B-9.wav,1-39835-B-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000082.wav,16000,5.0,1
ESC50_000083,ESC50,datasets\ESC50\audio\1-39923-A-1.wav,1-39923-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000083.wav,16000,5.0,1
ESC50_000084,ESC50,datasets\ESC50\audio\1-40730-A-1.wav,1-40730-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000084.wav,16000,5.0,1
ESC50_000085,ESC50,datasets\ESC50\audio\1-43382-A-1.wav,1-43382-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000085.wav,16000,5.0,1
ESC50_000086,ESC50,datasets\ESC50\audio\1-43807-A-47.wav,1-43807-A-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000086.wav,16000,5.0,1
ESC50_000087,ESC50,datasets\ESC50\audio\1-43807-B-47.wav,1-43807-B-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000087.wav,16000,5.0,1
ESC50_000088,ESC50,datasets\ESC50\audio\1-43807-C-47.wav,1-43807-C-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000088.wav,16000,5.0,1
ESC50_000089,ESC50,datasets\ESC50\audio\1-43807-D-47.wav,1-43807-D-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000089.wav,16000,5.0,1
ESC50_000090,ESC50,datasets\ESC50\audio\1-44831-A-1.wav,1-44831-A-1.wav,rooster,Bird,train,1.0,processed\audio\ESC50_000090.wav,16000,5.0,1
ESC50_000091,ESC50,datasets\ESC50\audio\1-46040-A-14.wav,1-46040-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000091.wav,16000,5.0,1
ESC50_000092,ESC50,datasets\ESC50\audio\1-47250-A-41.wav,1-47250-A-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000092.wav,16000,5.0,1
ESC50_000093,ESC50,datasets\ESC50\audio\1-47250-B-41.wav,1-47250-B-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000093.wav,16000,5.0,1
ESC50_000094,ESC50,datasets\ESC50\audio\1-47709-A-16.wav,1-47709-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000094.wav,16000,5.0,1
ESC50_000095,ESC50,datasets\ESC50\audio\1-47714-A-16.wav,1-47714-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000095.wav,16000,5.0,1
ESC50_000096,ESC50,datasets\ESC50\audio\1-47819-A-5.wav,1-47819-A-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000096.wav,16000,5.0,1
ESC50_000097,ESC50,datasets\ESC50\audio\1-47819-B-5.wav,1-47819-B-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000097.wav,16000,5.0,1
ESC50_000098,ESC50,datasets\ESC50\audio\1-47819-C-5.wav,1-47819-C-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000098.wav,16000,5.0,1
ESC50_000099,ESC50,datasets\ESC50\audio\1-49409-A-8.wav,1-49409-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000099.wav,16000,5.0,1
ESC50_000100,ESC50,datasets\ESC50\audio\1-49409-B-8.wav,1-49409-B-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000100.wav,16000,5.0,1
ESC50_000101,ESC50,datasets\ESC50\audio\1-50060-A-10.wav,1-50060-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000101.wav,16000,5.0,1
ESC50_000102,ESC50,datasets\ESC50\audio\1-50454-A-44.wav,1-50454-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000102.wav,16000,5.0,1
ESC50_000103,ESC50,datasets\ESC50\audio\1-50455-A-44.wav,1-50455-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000103.wav,16000,5.0,1
ESC50_000104,ESC50,datasets\ESC50\audio\1-50661-A-44.wav,1-50661-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000104.wav,16000,5.0,1
ESC50_000105,ESC50,datasets\ESC50\audio\1-51035-A-16.wav,1-51035-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000105.wav,16000,5.0,1
ESC50_000106,ESC50,datasets\ESC50\audio\1-51036-A-16.wav,1-51036-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000106.wav,16000,5.0,1
ESC50_000107,ESC50,datasets\ESC50\audio\1-51037-A-16.wav,1-51037-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000107.wav,16000,5.0,1
ESC50_000108,ESC50,datasets\ESC50\audio\1-51147-A-25.wav,1-51147-A-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000108.wav,16000,5.0,1
ESC50_000109,ESC50,datasets\ESC50\audio\1-53467-A-47.wav,1-53467-A-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000109.wav,16000,5.0,1
ESC50_000110,ESC50,datasets\ESC50\audio\1-54065-A-45.wav,1-54065-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000110.wav,16000,5.0,1
ESC50_000111,ESC50,datasets\ESC50\audio\1-54065-B-45.wav,1-54065-B-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000111.wav,16000,5.0,1
ESC50_000112,ESC50,datasets\ESC50\audio\1-54084-A-42.wav,1-54084-A-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000112.wav,16000,5.0,1
ESC50_000113,ESC50,datasets\ESC50\audio\1-54918-A-14.wav,1-54918-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000113.wav,16000,5.0,1
ESC50_000114,ESC50,datasets\ESC50\audio\1-54918-B-14.wav,1-54918-B-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000114.wav,16000,5.0,1
ESC50_000115,ESC50,datasets\ESC50\audio\1-54958-A-10.wav,1-54958-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000115.wav,16000,5.0,1
ESC50_000116,ESC50,datasets\ESC50\audio\1-56233-A-9.wav,1-56233-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000116.wav,16000,5.0,1
ESC50_000117,ESC50,datasets\ESC50\audio\1-56234-A-9.wav,1-56234-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000117.wav,16000,5.0,1
ESC50_000118,ESC50,datasets\ESC50\audio\1-56311-A-10.wav,1-56311-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000118.wav,16000,5.0,1
ESC50_000119,ESC50,datasets\ESC50\audio\1-56380-A-5.wav,1-56380-A-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000119.wav,16000,5.0,1
ESC50_000120,ESC50,datasets\ESC50\audio\1-56380-B-5.wav,1-56380-B-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000120.wav,16000,5.0,1
ESC50_000121,ESC50,datasets\ESC50\audio\1-57795-A-8.wav,1-57795-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000121.wav,16000,5.0,1
ESC50_000122,ESC50,datasets\ESC50\audio\1-58277-A-3.wav,1-58277-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000122.wav,16000,5.0,1
ESC50_000123,ESC50,datasets\ESC50\audio\1-59513-A-0.wav,1-59513-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000123.wav,16000,5.0,1
ESC50_000124,ESC50,datasets\ESC50\audio\1-61261-A-44.wav,1-61261-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000124.wav,16000,5.0,1
ESC50_000125,ESC50,datasets\ESC50\audio\1-62509-A-45.wav,1-62509-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000125.wav,16000,5.0,1
ESC50_000126,ESC50,datasets\ESC50\audio\1-62565-A-44.wav,1-62565-A-44.wav,engine,Vehicle,train,1.0,processed\audio\ESC50_000126.wav,16000,5.0,1
ESC50_000127,ESC50,datasets\ESC50\audio\1-63871-A-10.wav,1-63871-A-10.wav,rain,Rain,train,1.0,processed\audio\ESC50_000127.wav,16000,5.0,1
ESC50_000128,ESC50,datasets\ESC50\audio\1-64398-A-41.wav,1-64398-A-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000128.wav,16000,5.0,1
ESC50_000129,ESC50,datasets\ESC50\audio\1-64398-B-41.wav,1-64398-B-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000129.wav,16000,5.0,1
ESC50_000130,ESC50,datasets\ESC50\audio\1-64473-A-45.wav,1-64473-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000130.wav,16000,5.0,1
ESC50_000131,ESC50,datasets\ESC50\audio\1-69422-A-3.wav,1-69422-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000131.wav,16000,5.0,1
ESC50_000132,ESC50,datasets\ESC50\audio\1-69641-A-3.wav,1-69641-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000132.wav,16000,5.0,1
ESC50_000133,ESC50,datasets\ESC50\audio\1-69760-A-16.wav,1-69760-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000133.wav,16000,5.0,1
ESC50_000134,ESC50,datasets\ESC50\audio\1-70300-A-45.wav,1-70300-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000134.wav,16000,5.0,1
ESC50_000135,ESC50,datasets\ESC50\audio\1-75162-A-9.wav,1-75162-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000135.wav,16000,5.0,1
ESC50_000136,ESC50,datasets\ESC50\audio\1-75190-A-8.wav,1-75190-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000136.wav,16000,5.0,1
ESC50_000137,ESC50,datasets\ESC50\audio\1-76831-A-42.wav,1-76831-A-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000137.wav,16000,5.0,1
ESC50_000138,ESC50,datasets\ESC50\audio\1-76831-B-42.wav,1-76831-B-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000138.wav,16000,5.0,1
ESC50_000139,ESC50,datasets\ESC50\audio\1-76831-C-42.wav,1-76831-C-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000139.wav,16000,5.0,1
ESC50_000140,ESC50,datasets\ESC50\audio\1-76831-D-42.wav,1-76831-D-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000140.wav,16000,5.0,1
ESC50_000141,ESC50,datasets\ESC50\audio\1-76831-E-42.wav,1-76831-E-42.wav,siren,EmergencyVehicle,train,1.0,processed\audio\ESC50_000141.wav,16000,5.0,1
ESC50_000142,ESC50,datasets\ESC50\audio\1-77160-A-3.wav,1-77160-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000142.wav,16000,5.0,1
ESC50_000143,ESC50,datasets\ESC50\audio\1-77241-A-3.wav,1-77241-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000143.wav,16000,5.0,1
ESC50_000144,ESC50,datasets\ESC50\audio\1-79113-A-5.wav,1-79113-A-5.wav,cat,Wildlife,train,1.0,processed\audio\ESC50_000144.wav,16000,5.0,1
ESC50_000145,ESC50,datasets\ESC50\audio\1-81269-A-3.wav,1-81269-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000145.wav,16000,5.0,1
ESC50_000146,ESC50,datasets\ESC50\audio\1-85362-A-0.wav,1-85362-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000146.wav,16000,5.0,1
ESC50_000147,ESC50,datasets\ESC50\audio\1-88409-A-45.wav,1-88409-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000147.wav,16000,5.0,1
ESC50_000148,ESC50,datasets\ESC50\audio\1-88409-B-45.wav,1-88409-B-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000148.wav,16000,5.0,1
ESC50_000149,ESC50,datasets\ESC50\audio\1-88574-A-8.wav,1-88574-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000149.wav,16000,5.0,1
ESC50_000150,ESC50,datasets\ESC50\audio\1-96950-A-9.wav,1-96950-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000150.wav,16000,5.0,1
ESC50_000151,ESC50,datasets\ESC50\audio\1-96950-B-9.wav,1-96950-B-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000151.wav,16000,5.0,1
ESC50_000152,ESC50,datasets\ESC50\audio\1-97392-A-0.wav,1-97392-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000152.wav,16000,5.0,1
ESC50_000153,ESC50,datasets\ESC50\audio\2-100786-A-1.wav,2-100786-A-1.wav,rooster,Bird,train,2.0,processed\audio\ESC50_000153.wav,16000,5.0,1
