dataset,filepath,filename,original_label,split,fold,metadata
ESC50,datasets\ESC50\audio\1-119125-A-45.wav,1-119125-A-45.wav,train,train,1,"{'target': 45, 'esc10': False, 'src_file': 119125, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-121951-A-8.wav,1-121951-A-8.wav,sheep,train,1,"{'target': 8, 'esc10': False, 'src_file': 121951, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-12653-A-15.wav,1-12653-A-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 12653, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-12654-A-15.wav,1-12654-A-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 12654, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-12654-B-15.wav,1-12654-B-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 12654, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-13571-A-46.wav,1-13571-A-46.wav,church_bells,train,1,"{'target': 46, 'esc10': False, 'src_file': 13571, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-13572-A-46.wav,1-13572-A-46.wav,church_bells,train,1,"{'target': 46, 'esc10': False, 'src_file': 13572, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-13613-A-37.wav,1-13613-A-37.wav,clock_alarm,train,1,"{'target': 37, 'esc10': False, 'src_file': 13613, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-137-A-32.wav,1-137-A-32.wav,keyboard_typing,train,1,"{'target': 32, 'esc10': False, 'src_file': 137, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-137296-A-16.wav,1-137296-A-16.wav,wind,train,1,"{'target': 16, 'esc10': False, 'src_file': 137296, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-14262-A-37.wav,1-14262-A-37.wav,clock_alarm,train,1,"{'target': 37, 'esc10': False, 'src_file': 14262, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-155858-A-25.wav,1-155858-A-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-155858-B-25.wav,1-155858-B-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-155858-C-25.wav,1-155858-C-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-155858-D-25.wav,1-155858-D-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'D'}"
ESC50,datasets\ESC50\audio\1-155858-E-25.wav,1-155858-E-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'E'}"
ESC50,datasets\ESC50\audio\1-155858-F-25.wav,1-155858-F-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 155858, 'take': 'F'}"
ESC50,datasets\ESC50\audio\1-15689-A-4.wav,1-15689-A-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 15689, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-15689-B-4.wav,1-15689-B-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 15689, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-160563-A-48.wav,1-160563-A-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 160563, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-160563-B-48.wav,1-160563-B-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 160563, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-16568-A-3.wav,1-16568-A-3.wav,cow,train,1,"{'target': 3, 'esc10': False, 'src_file': 16568, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-16746-A-15.wav,1-16746-A-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 16746, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17092-A-27.wav,1-17092-A-27.wav,brushing_teeth,train,1,"{'target': 27, 'esc10': False, 'src_file': 17092, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17092-B-27.wav,1-17092-B-27.wav,brushing_teeth,train,1,"{'target': 27, 'esc10': False, 'src_file': 17092, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-17124-A-43.wav,1-17124-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 17124, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17150-A-12.wav,1-17150-A-12.wav,crackling_fire,train,1,"{'target': 12, 'esc10': True, 'src_file': 17150, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-172649-A-40.wav,1-172649-A-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-172649-B-40.wav,1-172649-B-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-172649-C-40.wav,1-172649-C-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-172649-D-40.wav,1-172649-D-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'D'}"
ESC50,datasets\ESC50\audio\1-172649-E-40.wav,1-172649-E-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'E'}"
ESC50,datasets\ESC50\audio\1-172649-F-40.wav,1-172649-F-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 172649, 'take': 'F'}"
ESC50,datasets\ESC50\audio\1-17295-A-29.wav,1-17295-A-29.wav,drinking_sipping,train,1,"{'target': 29, 'esc10': False, 'src_file': 17295, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17367-A-10.wav,1-17367-A-10.wav,rain,train,1,"{'target': 10, 'esc10': True, 'src_file': 17367, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17565-A-12.wav,1-17565-A-12.wav,crackling_fire,train,1,"{'target': 12, 'esc10': True, 'src_file': 17565, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17585-A-7.wav,1-17585-A-7.wav,insects,train,1,"{'target': 7, 'esc10': False, 'src_file': 17585, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17742-A-12.wav,1-17742-A-12.wav,crackling_fire,train,1,"{'target': 12, 'esc10': True, 'src_file': 17742, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17808-A-12.wav,1-17808-A-12.wav,crackling_fire,train,1,"{'target': 12, 'esc10': True, 'src_file': 17808, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17808-B-12.wav,1-17808-B-12.wav,crackling_fire,train,1,"{'target': 12, 'esc10': True, 'src_file': 17808, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-1791-A-26.wav,1-1791-A-26.wav,laughing,train,1,"{'target': 26, 'esc10': False, 'src_file': 1791, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-17970-A-4.wav,1-17970-A-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 17970, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18074-A-6.wav,1-18074-A-6.wav,hen,train,1,"{'target': 6, 'esc10': False, 'src_file': 18074, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18074-B-6.wav,1-18074-B-6.wav,hen,train,1,"{'target': 6, 'esc10': False, 'src_file': 18074, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-181071-A-40.wav,1-181071-A-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 181071, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-181071-B-40.wav,1-181071-B-40.wav,helicopter,train,1,"{'target': 40, 'esc10': True, 'src_file': 181071, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-18527-A-44.wav,1-18527-A-44.wav,engine,train,1,"{'target': 44, 'esc10': False, 'src_file': 18527, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18527-B-44.wav,1-18527-B-44.wav,engine,train,1,"{'target': 44, 'esc10': False, 'src_file': 18527, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-18631-A-23.wav,1-18631-A-23.wav,breathing,train,1,"{'target': 23, 'esc10': False, 'src_file': 18631, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18655-A-31.wav,1-18655-A-31.wav,mouse_click,train,1,"{'target': 31, 'esc10': False, 'src_file': 18655, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-187207-A-20.wav,1-187207-A-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 187207, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18755-A-4.wav,1-18755-A-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 18755, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18755-B-4.wav,1-18755-B-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 18755, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-18757-A-4.wav,1-18757-A-4.wav,frog,train,1,"{'target': 4, 'esc10': False, 'src_file': 18757, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-18810-A-49.wav,1-18810-A-49.wav,hand_saw,train,1,"{'target': 49, 'esc10': False, 'src_file': 18810, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19026-A-43.wav,1-19026-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 19026, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19111-A-24.wav,1-19111-A-24.wav,coughing,train,1,"{'target': 24, 'esc10': False, 'src_file': 19111, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19118-A-24.wav,1-19118-A-24.wav,coughing,train,1,"{'target': 24, 'esc10': False, 'src_file': 19118, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19501-A-7.wav,1-19501-A-7.wav,insects,train,1,"{'target': 7, 'esc10': False, 'src_file': 19501, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-196660-A-8.wav,1-196660-A-8.wav,sheep,train,1,"{'target': 8, 'esc10': False, 'src_file': 196660, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-196660-B-8.wav,1-196660-B-8.wav,sheep,train,1,"{'target': 8, 'esc10': False, 'src_file': 196660, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-19840-A-36.wav,1-19840-A-36.wav,vacuum_cleaner,train,1,"{'target': 36, 'esc10': False, 'src_file': 19840, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19872-A-36.wav,1-19872-A-36.wav,vacuum_cleaner,train,1,"{'target': 36, 'esc10': False, 'src_file': 19872, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19872-B-36.wav,1-19872-B-36.wav,vacuum_cleaner,train,1,"{'target': 36, 'esc10': False, 'src_file': 19872, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-19898-A-41.wav,1-19898-A-41.wav,chainsaw,train,1,"{'target': 41, 'esc10': True, 'src_file': 19898, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-19898-B-41.wav,1-19898-B-41.wav,chainsaw,train,1,"{'target': 41, 'esc10': True, 'src_file': 19898, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-19898-C-41.wav,1-19898-C-41.wav,chainsaw,train,1,"{'target': 41, 'esc10': True, 'src_file': 19898, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-20133-A-39.wav,1-20133-A-39.wav,glass_breaking,train,1,"{'target': 39, 'esc10': False, 'src_file': 20133, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-202111-A-3.wav,1-202111-A-3.wav,cow,train,1,"{'target': 3, 'esc10': False, 'src_file': 202111, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-20545-A-28.wav,1-20545-A-28.wav,snoring,train,1,"{'target': 28, 'esc10': False, 'src_file': 20545, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-20736-A-18.wav,1-20736-A-18.wav,toilet_flush,train,1,"{'target': 18, 'esc10': False, 'src_file': 20736, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-208757-A-2.wav,1-208757-A-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 208757, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-208757-B-2.wav,1-208757-B-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 208757, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-208757-C-2.wav,1-208757-C-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 208757, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-208757-D-2.wav,1-208757-D-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 208757, 'take': 'D'}"
ESC50,datasets\ESC50\audio\1-208757-E-2.wav,1-208757-E-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 208757, 'take': 'E'}"
ESC50,datasets\ESC50\audio\1-211527-A-20.wav,1-211527-A-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 211527, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-211527-B-20.wav,1-211527-B-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 211527, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-211527-C-20.wav,1-211527-C-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 211527, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-21189-A-10.wav,1-21189-A-10.wav,rain,train,1,"{'target': 10, 'esc10': True, 'src_file': 21189, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-21421-A-46.wav,1-21421-A-46.wav,church_bells,train,1,"{'target': 46, 'esc10': False, 'src_file': 21421, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-21896-A-35.wav,1-21896-A-35.wav,washing_machine,train,1,"{'target': 35, 'esc10': False, 'src_file': 21896, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-21934-A-38.wav,1-21934-A-38.wav,clock_tick,train,1,"{'target': 38, 'esc10': True, 'src_file': 21934, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-21935-A-38.wav,1-21935-A-38.wav,clock_tick,train,1,"{'target': 38, 'esc10': True, 'src_file': 21935, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-223162-A-25.wav,1-223162-A-25.wav,footsteps,train,1,"{'target': 25, 'esc10': False, 'src_file': 223162, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-22694-A-20.wav,1-22694-A-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 22694, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-22694-B-20.wav,1-22694-B-20.wav,crying_baby,train,1,"{'target': 20, 'esc10': True, 'src_file': 22694, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-22804-A-46.wav,1-22804-A-46.wav,church_bells,train,1,"{'target': 46, 'esc10': False, 'src_file': 22804, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-22882-A-44.wav,1-22882-A-44.wav,engine,train,1,"{'target': 44, 'esc10': False, 'src_file': 22882, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-23094-A-15.wav,1-23094-A-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 23094, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-23094-B-15.wav,1-23094-B-15.wav,water_drops,train,1,"{'target': 15, 'esc10': False, 'src_file': 23094, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-23222-A-19.wav,1-23222-A-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 23222, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-23222-B-19.wav,1-23222-B-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 23222, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-23706-A-49.wav,1-23706-A-49.wav,hand_saw,train,1,"{'target': 49, 'esc10': False, 'src_file': 23706, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-23996-A-35.wav,1-23996-A-35.wav,washing_machine,train,1,"{'target': 35, 'esc10': False, 'src_file': 23996, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-23996-B-35.wav,1-23996-B-35.wav,washing_machine,train,1,"{'target': 35, 'esc10': False, 'src_file': 23996, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-24074-A-43.wav,1-24074-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 24074, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-24076-A-43.wav,1-24076-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 24076, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-24524-A-19.wav,1-24524-A-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 24524, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-24524-B-19.wav,1-24524-B-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 24524, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-24524-C-19.wav,1-24524-C-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 24524, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-24796-A-47.wav,1-24796-A-47.wav,airplane,train,1,"{'target': 47, 'esc10': False, 'src_file': 24796, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-254507-A-43.wav,1-254507-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 254507, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-25777-A-48.wav,1-25777-A-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 25777, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-25781-A-48.wav,1-25781-A-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 25781, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-260640-A-2.wav,1-260640-A-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 260640, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-260640-B-2.wav,1-260640-B-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 260640, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-260640-C-2.wav,1-260640-C-2.wav,pig,train,1,"{'target': 2, 'esc10': False, 'src_file': 260640, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-26143-A-21.wav,1-26143-A-21.wav,sneezing,train,1,"{'target': 21, 'esc10': True, 'src_file': 26143, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-26176-A-43.wav,1-26176-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 26176, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-26177-A-43.wav,1-26177-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 26177, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-26188-A-30.wav,1-26188-A-30.wav,door_wood_knock,train,1,"{'target': 30, 'esc10': False, 'src_file': 26188, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-26222-A-10.wav,1-26222-A-10.wav,rain,train,1,"{'target': 10, 'esc10': True, 'src_file': 26222, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-26806-A-1.wav,1-26806-A-1.wav,rooster,train,1,"{'target': 1, 'esc10': True, 'src_file': 26806, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-27165-A-35.wav,1-27165-A-35.wav,washing_machine,train,1,"{'target': 35, 'esc10': False, 'src_file': 27165, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-27166-A-35.wav,1-27166-A-35.wav,washing_machine,train,1,"{'target': 35, 'esc10': False, 'src_file': 27166, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-27403-A-28.wav,1-27403-A-28.wav,snoring,train,1,"{'target': 28, 'esc10': False, 'src_file': 27403, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-27405-A-28.wav,1-27405-A-28.wav,snoring,train,1,"{'target': 28, 'esc10': False, 'src_file': 27405, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-27724-A-1.wav,1-27724-A-1.wav,rooster,train,1,"{'target': 1, 'esc10': True, 'src_file': 27724, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-28005-A-18.wav,1-28005-A-18.wav,toilet_flush,train,1,"{'target': 18, 'esc10': False, 'src_file': 28005, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-28135-A-11.wav,1-28135-A-11.wav,sea_waves,train,1,"{'target': 11, 'esc10': True, 'src_file': 28135, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-28135-B-11.wav,1-28135-B-11.wav,sea_waves,train,1,"{'target': 11, 'esc10': True, 'src_file': 28135, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-28808-A-43.wav,1-28808-A-43.wav,car_horn,train,1,"{'target': 43, 'esc10': False, 'src_file': 28808, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-29532-A-16.wav,1-29532-A-16.wav,wind,train,1,"{'target': 16, 'esc10': False, 'src_file': 29532, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-29561-A-10.wav,1-29561-A-10.wav,rain,train,1,"{'target': 10, 'esc10': True, 'src_file': 29561, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-29680-A-21.wav,1-29680-A-21.wav,sneezing,train,1,"{'target': 21, 'esc10': True, 'src_file': 29680, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30039-A-26.wav,1-30039-A-26.wav,laughing,train,1,"{'target': 26, 'esc10': False, 'src_file': 30039, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30043-A-26.wav,1-30043-A-26.wav,laughing,train,1,"{'target': 26, 'esc10': False, 'src_file': 30043, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30214-A-18.wav,1-30214-A-18.wav,toilet_flush,train,1,"{'target': 18, 'esc10': False, 'src_file': 30214, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30226-A-0.wav,1-30226-A-0.wav,dog,train,1,"{'target': 0, 'esc10': True, 'src_file': 30226, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30344-A-0.wav,1-30344-A-0.wav,dog,train,1,"{'target': 0, 'esc10': True, 'src_file': 30344, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-30709-A-23.wav,1-30709-A-23.wav,breathing,train,1,"{'target': 23, 'esc10': False, 'src_file': 30709, 'take': 'A'}"
